time,open,high,low,close
2013-01-23T00:00:00Z,16.370152,17.6,16.370152,17.365
2013-01-24T00:00:00Z,16.867576,19.2,16,17.4975
2013-01-25T00:00:00Z,17.182538,17.72,16.12,17.12
2013-01-26T00:00:00Z,17.151269,17.49,16.67,17.2375
2013-01-27T00:00:00Z,17.1943845,17.6,17.08,17.4425
2013-01-28T00:00:00Z,17.31844225,18.74,17.31844225,18.1225
2013-01-29T00:00:00Z,17.72047112,19.85,17.72047112,19.0825
2013-01-30T00:00:00Z,18.40148556,19.47,18.40148556,19.3075
2013-01-31T00:00:00Z,18.85449278,21,18.85449278,20.045
2013-02-01T00:00:00Z,19.44974639,20.9,19.44974639,20.3975
2013-02-02T00:00:00Z,19.9236232,20.53,19.5,20.05
2013-02-03T00:00:00Z,19.9868116,20.59,19.57,20.0525
2013-02-04T00:00:00Z,20.0196558,20.7,19.9,20.3625
2013-02-05T00:00:00Z,20.1910779,20.69,20.08,20.3925
2013-02-06T00:00:00Z,20.29178895,20.99,20.29178895,20.6975
2013-02-07T00:00:00Z,20.49464447,21.96,20.49464447,21.37
2013-02-08T00:00:00Z,20.93232224,22.63,20.93232224,22.1975
2013-02-09T00:00:00Z,21.56491112,23.5,21.56491112,22.82
2013-02-10T00:00:00Z,22.19245556,23.8,22.19245556,23.4525
2013-02-11T00:00:00Z,22.82247778,23.94,22.82247778,23.695
2013-02-12T00:00:00Z,23.25873889,25.85,23.25873889,24.7825
2013-02-13T00:00:00Z,24.02061944,25.97,24.02061944,25.325
2013-02-14T00:00:00Z,24.67280972,27.5,22.42,25.58
2013-02-15T00:00:00Z,25.12640486,27.56,25.12640486,27.17
2013-02-16T00:00:00Z,26.14820243,27.58,26.14820243,27.305
2013-02-17T00:00:00Z,26.72660122,27.5,25.25,26.7725
2013-02-18T00:00:00Z,26.74955061,27,26.29,26.755
2013-02-19T00:00:00Z,26.7522753,29.5,26.7,28.1275
2013-02-20T00:00:00Z,27.43988765,30.07,27.43988765,29.6675
2013-02-21T00:00:00Z,28.55369383,30.14,28.55369383,29.935
2013-02-22T00:00:00Z,29.24434691,31.49,29.24434691,30.4375
2013-02-23T00:00:00Z,29.84092346,30.44,27.67,29.505
2013-02-24T00:00:00Z,29.67296173,30.37,29.08,29.695
2013-02-25T00:00:00Z,29.68398086,30.49,29.68398086,30.1225
2013-02-26T00:00:00Z,29.90324043,32,29.85,30.845
2013-02-27T00:00:00Z,30.37412022,31.77,30.37412022,31.135
2013-02-28T00:00:00Z,30.75456011,34.42,30.75456011,32.6425
2013-03-01T00:00:00Z,31.69853005,34.75,31.69853005,34.02
2013-03-02T00:00:00Z,32.85926503,34.77,32.85926503,34.27
2013-03-03T00:00:00Z,33.56463251,34.34,33.56463251,34.2175
2013-03-04T00:00:00Z,33.89106626,37,33.89106626,35.5225
2013-03-05T00:00:00Z,34.70678313,41,34.70678313,38.71
2013-03-06T00:00:00Z,36.70839156,49.17,36.70839156,43.2025
2013-03-07T00:00:00Z,39.95544578,46,33,40.7475
2013-03-08T00:00:00Z,40.35147289,44.37,40.35147289,42.5925
2013-03-09T00:00:00Z,41.47198645,46,41.47198645,44.4425
2013-03-10T00:00:00Z,42.95724322,47,42.95724322,45.7625
2013-03-11T00:00:00Z,44.35987161,48.38,44.35987161,47.05
2013-03-12T00:00:00Z,45.70493581,48.25,36,44.31
2013-03-13T00:00:00Z,45.0074679,47.09,44.2,45.6425
2013-03-14T00:00:00Z,45.32498395,47.97,45.32498395,47.1775
2013-03-15T00:00:00Z,46.25124198,47.29,46.25124198,47.01
2013-03-16T00:00:00Z,46.63062099,47,46.58,46.8125
2013-03-17T00:00:00Z,46.72156049,47.24,46.7,46.97
2013-03-18T00:00:00Z,46.84578025,51.1,46.84578025,48.9175
2013-03-19T00:00:00Z,47.88164012,60,47.88164012,54.32
